Nome,Possui AD,Possui Bitdefender,Possui DHCP,Possui Kace
"Name",Não,Não,Sim,Não
"SEPF01D2D59BDFF",Não,Não,Sim,Não
"S21-Ultra-de-Eduardo",Não,Não,Sim,Não
"SpeedwayR-10-CF-E2",Não,Não,Sim,Não
"dash",Não,Não,Sim,Não
"android-8389623bbef38800",Não,Não,Sim,Não
"iPad-2",Não,Não,Sim,Não
"LNNUTRI01-FD",Não,Não,Sim,Não
"android-e5810ba01d63f8be",Não,Não,Sim,Não
"LNMANUT05",Não,Não,Sim,Não
"ultimakersystem-ccbdd30068cc",Não,Não,Sim,Não
"android-dddd41bff9c2c589",Não,Não,Sim,Não
"ATA191",Não,Não,Sim,Não
"ZBR10620581",Não,Não,Sim,Não
"Galaxy-A12-de-Sarah",Não,Não,Sim,Não
"SpeedwayR-10-CF-5D",Não,Não,Sim,Não
"SpeedwayR-10-CF-59",Não,Não,Sim,Não
"LNBIOENG03",Sim,Sim,Sim,Não
"LNDRKINETIC01",Não,Não,Sim,Não
"android-312a443df5204d23",Não,Não,Sim,Não
"iPad-tomb-98460",Não,Não,Sim,Não
"lnchamada00",Não,Não,Sim,Não
"Galaxy-A12",Não,Não,Sim,Não
"BAD_ADDRESS",Não,Não,Sim,Não
"Galaxy-A31",Não,Não,Sim,Não
"LN-ENF-PRINCIPAL2",Não,Não,Sim,Não
"LN-ENF-INTERNO2",Não,Não,Sim,Não
"SEPF01D2D59BE07",Não,Não,Sim,Não
"Scherer-A52",Não,Não,Sim,Não
