
"Nome do sistema","Modelo do sistema","Tempo de conexão do Agente","Tempo de desconexão do Agente","Última sincronização","Nome de SO","Versão","Total de Ram","RAM usada","Tamanho total de disco (G)","Endereço MAC"
"LNG02C02","11DUSGAP00","15-10-2024 09:10:26","","15-10-2024 09:13:16","Microsoft Windows 11 Pro x64","10.0.22000","8192","4692.7","235.50","64:1C:67:EC:CD:80"
"LNG02C07","HP ProDesk 400 G3 DM (Brazil)","15-10-2024 07:32:55","","15-10-2024 13:34:15","Microsoft Windows 11 Pro x64","10.0.22631","8192","4067","235.60","48:BA:4E:BC:29:44"
"LNG02C08","HP ProDesk 400 G3 DM (Brazil)","15-10-2024 08:56:53","","15-10-2024 08:57:39","Microsoft Windows 11 Pro x64","10.0.22631","8192","1452.1","235.60","48:BA:4E:BC:6B:20"
"LNG02C09","HP ProDesk 400 G3 DM (Brazil)","15-10-2024 10:58:11","","15-10-2024 10:59:20","Microsoft Windows 11 Pro x64","10.0.22631","8192","1530.7","235.60","48:BA:4E:BC:7B:92"
"LNG02NOTE01","Latitude 3540","14-10-2024 14:52:46","14-10-2024 15:11:56","14-10-2024 12:18:15","Microsoft Windows 11 Pro x64","10.0.22631","8192","6589","235.50","F0:20:FF:B6:C9:43"
"LNG03BOX01","11T40031BO","15-10-2024 09:23:10","","15-10-2024 09:24:52","Microsoft Windows 11 Pro x64","10.0.22631","8192","5071.2","235.50","60:C7:27:05:44:CB"
"LNG03BOX02","11T40031BO","15-10-2024 08:05:07","","15-10-2024 14:06:09","Microsoft Windows 11 Pro x64","10.0.22631","8192","6545.5","235.50","60:C7:27:05:45:C9"
"LNG03BOX03","11T40031BO","15-10-2024 12:12:55","","15-10-2024 12:13:39","Microsoft Windows 11 Pro x64","10.0.22631","8192","2596","235.50","60:C7:27:05:47:07"
"LNG03BOX04","11T40031BO","15-10-2024 08:09:34","","15-10-2024 14:10:42","Microsoft Windows 11 Pro x64","10.0.22631","8192","6250.7","235.50","60:C7:27:05:45:B5"
"LNG03BOX05","11T40031BO","15-10-2024 12:11:59","","15-10-2024 12:12:37","Microsoft Windows 11 Pro x64","10.0.22631","8192","3819.2","235.50","60:C7:27:05:44:C9"
"LNG03BOX06","11T40031BO","15-10-2024 11:04:38","","15-10-2024 11:05:19","Microsoft Windows 11 Pro x64","10.0.22631","8192","1906.5","235.50","60:C7:27:05:47:DB"
"LNG03C01","HP ProDesk 400 G3 DM (Brazil)","15-10-2024 07:56:19","","15-10-2024 13:57:38","Microsoft Windows 11 Pro x64","10.0.22631","8192","6543.9","235.60","48:BA:4E:BC:6B:72"
"LNG03C03","HP ProDesk 400 G3 DM (Brazil)","15-10-2024 07:51:09","","15-10-2024 13:51:56","Microsoft Windows 11 Pro x64","10.0.22631","8192","3936.4","235.60","48:BA:4E:BC:8D:71"
"LNG03NOTE01","Latitude 3540","15-10-2024 13:17:44","","15-10-2024 13:56:28","Microsoft Windows 11 Pro x64","10.0.22631","8192","6755.7","235.50","F0:20:FF:B6:D5:E1"
"LNG04BOX01","C610","15-10-2024 10:40:19","","15-10-2024 10:41:10","Microsoft Windows 11 Pro x64","10.0.22631","8192","3399.5","235.50","A8:5E:45:04:A7:9B"
"LNG04C01","11DUSGAP00","15-10-2024 13:05:17","","15-10-2024 13:06:07","Microsoft Windows 11 Pro x64","10.0.22000","8192","4889.7","235.50","64:1C:67:EC:AC:4F"
"LNG04C02","11T40031BO","15-10-2024 08:02:41","","15-10-2024 14:03:20","Microsoft Windows 11 Pro x64","10.0.22631","8192","2828.7","235.50","60:C7:27:05:47:E7"
"LNG04C03","11T40031BO","15-10-2024 13:14:17","","15-10-2024 13:14:58","Microsoft Windows 11 Pro x64","10.0.22631","8192","2088.6","235.50","60:C7:27:05:45:D6"
"LNG04C04","11T40031BO","15-10-2024 08:31:33","","15-10-2024 08:32:12","Microsoft Windows 11 Pro x64","10.0.22631","8192","2100.2","235.50","60:C7:27:05:47:80"
"LNG04C05","11T40031BO","11-10-2024 07:55:41","11-10-2024 20:03:10","11-10-2024 19:57:04","Microsoft Windows 11 Pro x64","10.0.22631","8192","4350.3","235.50","60:C7:27:05:45:C8"
"LNG04C06","11T4S5GD00","14-10-2024 09:20:15","14-10-2024 20:03:03","14-10-2024 18:18:20","Microsoft Windows 11 Pro x64","10.0.22621","8192","3164.1","235.50","D8:CB:8A:D5:6F:8B"
"LNG04C07","11T40031BO","15-10-2024 08:08:40","","15-10-2024 14:09:56","Microsoft Windows 11 Pro x64","10.0.22631","8192","6441.7","235.50","60:C7:27:05:47:D6"
"LNG04C08","11T4S5GD00","09-10-2024 18:50:34","09-10-2024 20:03:03","09-10-2024 18:22:54","Microsoft Windows 11 Pro x64","10.0.22621","8192","2997.1","235.50","D8:CB:8A:D5:6F:96"
"LNG04C09","HP Pro Mini 400 G9 Desktop PC","15-10-2024 11:04:28","","15-10-2024 11:05:06","Microsoft Windows 11 Pro x64","10.0.22621","8192","4965.9","235.50","5C:60:BA:B1:3F:BD"
"LNG04C10","HP Pro Mini 400 G9 Desktop PC","15-10-2024 11:06:42","","15-10-2024 11:07:25","Microsoft Windows 11 Pro x64","10.0.22621","8192","3815.1","235.50","5C:60:BA:B1:4F:6F"
"LNG07C01","11DUSGAP00","15-10-2024 07:50:53","","15-10-2024 13:52:29","Microsoft Windows 11 Pro x64","10.0.22000","8192","4278.9","235.50","64:1C:67:EC:CE:9A"
"LNG07C02","11T4S5GD00","14-10-2024 11:17:04","14-10-2024 18:33:56","14-10-2024 14:17:26","Microsoft Windows 11 Pro x64","10.0.22621","8192","5440","235.50","D8:CB:8A:D5:6F:9B"
﻿
"LNG08C01","HP ProDesk 400 G3 DM (Brazil)","15-10-2024 08:28:21","","15-10-2024 08:30:06","Microsoft Windows 11 Pro x64","10.0.22621","8192","2616.7","235.50","48:BA:4E:BC:8D:05"
"LNG08C02","HP ProDesk 400 G3 DM (Brazil)","15-10-2024 08:11:01","15-10-2024 12:01:07","15-10-2024 08:11:54","Microsoft Windows 11 Pro x64","10.0.22000","8192","3371.7","235.60","48:BA:4E:BC:7B:0C"
"LNG08C03","HP ProDesk 400 G3 DM (Brazil)","15-10-2024 08:07:30","","15-10-2024 14:08:26","Microsoft Windows 11 Pro x64","10.0.22000","8192","6927","235.60","48:BA:4E:BC:8D:51"
"LNG08C04","HP ProDesk 400 G3 DM (Brazil)","15-10-2024 07:02:26","","15-10-2024 13:04:14","Microsoft Windows 11 Pro x64","10.0.22000","8192","3072.6","235.60","48:BA:4E:BC:7B:0B"
"LNG08C05","11T4S5GD00","15-10-2024 08:00:11","","15-10-2024 14:01:40","Microsoft Windows 11 Pro x64","10.0.22621","8192","6822.5","235.50","D8:CB:8A:D5:EB:7C"
"LNG08C06","C610","15-10-2024 08:10:03","","15-10-2024 14:11:34","Microsoft Windows 11 Pro x64","10.0.22631","8192","4506.4","235.50","A8:5E:45:04:A7:EF"
"LNG08C07","C610","15-10-2024 07:51:56","","15-10-2024 13:53:49","Microsoft Windows 11 Pro x64","10.0.22631","8192","5924.6","235.50","A8:5E:45:04:A7:E9"
"LNG08C08","11DUSGAP00","15-10-2024 07:40:15","","15-10-2024 13:41:40","Microsoft Windows 11 Pro x64","10.0.22000","8192","5817.7","235.50","64:1C:67:EC:AC:9B"
