"Endpoint Name","Endpoint FQDN","IP","Antimalware","Network Attack Defense","Advanced Anti-Exploit","Firewall","Content Control","Antiphishing","Web Traffic Scan","Device Control","Power User","Exchange","Advanced Threat Control","Application Control","Hyper Detect","Sandbox Analyzer","Anti-Tampering","Scan Mode"
"LNG03NOTE01","lng03note01.sarah.br","10.1.93.49","Enabled","Not installed","Not installed","Not installed","Disabled","Disabled","Disabled","Not installed","Enabled","Not installed","Not installed","Not installed","Enabled","Disabled","Enabled","Local"
"LNPISCINASNOT01","lnpiscinasnot01.sarah.br","10.1.83.109","Enabled","Not installed","Not installed","Not installed","Disabled","Disabled","Disabled","Not installed","Enabled","Not installed","Not installed","Not installed","Enabled","Disabled","Enabled","Local"
"LNBIOENGNOTE01","lnbioengnote01.sarah.br","10.1.83.22","Enabled","Not installed","Not installed","Not installed","Disabled","Disabled","Disabled","Not installed","Enabled","Not installed","Not installed","Not installed","Enabled","Disabled","Enabled","Local"
"LNG08NOTE01","lng08note01.sarah.br","10.1.93.69","Enabled","Not installed","Not installed","Not installed","Disabled","Disabled","Disabled","Not installed","Enabled","Not installed","Not installed","Not installed","Enabled","Disabled","Enabled","Local"
"LNG02NOTE01","lng02note01.sarah.br","10.1.84.238","Enabled","Not installed","Not installed","Not installed","Disabled","Disabled","Disabled","Not installed","Enabled","Not installed","Not installed","Not installed","Enabled","Disabled","Enabled","Local"
"LNRISEC03","lnrisec03.sarah.br","10.1.83.73","Enabled","Not installed","Not installed","Not installed","Disabled","Disabled","Disabled","Not installed","Enabled","Not installed","Not installed","Not installed","Enabled","Disabled","Enabled","Local"
"LNG04C10","lng04c10.sarah.br","10.1.93.129","Enabled","Not installed","Not installed","Not installed","Disabled","Disabled","Disabled","Not installed","Enabled","Not installed","Not installed","Not installed","Enabled","Disabled","Enabled","Local"
"LNQUADRA02","lnquadra02.sarah.br","10.1.93.80","Enabled","Not installed","Not installed","Not installed","Disabled","Disabled","Disabled","Not installed","Enabled","Not installed","Not installed","Not installed","Enabled","Disabled","Enabled","Local"
"LNG04C05","lng04c05.sarah.br","10.1.83.17","Enabled","Not installed","Not installed","Not installed","Disabled","Disabled","Disabled","Not installed","Enabled","Not installed","Not installed","Not installed","Enabled","Disabled","Enabled","Local"
"LNG03BOX03","lng03box03.sarah.br","10.1.93.92","Enabled","Not installed","Not installed","Not installed","Disabled","Disabled","Disabled","Not installed","Enabled","Not installed","Not installed","Not installed","Enabled","Disabled","Enabled","Local"
"LNAMBLJ07","lnamblj07.sarah.br","10.1.83.93","Enabled","Not installed","Not installed","Not installed","Disabled","Disabled","Disabled","Not installed","Enabled","Not installed","Not installed","Not installed","Enabled","Disabled","Enabled","Local"
