Client IP Address	Name	Lease Expiration	Type	Unique ID	Description	Network Access Protection	Probation Expiration	Filter Profile	Policy
10.1.93.140	LNCOORDENF01.sarah.br	16/10/2024 21:03:11	DHCP	a85e4504a7bc		Full Access	N/A	None	
10.1.93.142	LNRECEP01.sarah.br	18/10/2024 13:54:50	DHCP	a85e4504a11f		Full Access	N/A	None	
10.1.93.149	LNG08C10.sarah.br	17/10/2024 08:42:39	DHCP	641c67ec9e44		Full Access	N/A	None	
10.1.93.156	LNRISL08C06.sarah.br	Reservation (inactive)	None	74867afd04ad		Full Access	N/A	None	
10.1.93.161	raspberrypi.sarah.br	Reservation (active)	None	b827ebd7946a		Full Access	N/A	None	
10.1.93.166	LNCOSTURARIA01.sarah.br	17/10/2024 13:56:59	DHCP	48ba4ebc6b13		Full Access	N/A	None	
10.1.93.176	LNAMB04.sarah.br	17/10/2024 21:03:19	DHCP	a85e4504a7bb		Full Access	N/A	None	
10.1.93.181	LNG08C06.sarah.br	17/10/2024 21:03:11	DHCP	a85e4504a7ef		Full Access	N/A	None	
10.1.93.185	LNG01C02.sarah.br	17/10/2024 09:05:51	DHCP	a85e4504a7b2		Full Access	N/A	None	
10.1.93.186	LNATIV03.sarah.br	18/10/2024 08:15:06	DHCP	641c67eccb48		Full Access	N/A	None	
10.1.93.200	LNG04C01.sarah.br	17/10/2024 09:16:15	DHCP	641c67ecac4f		Full Access	N/A	None	
10.1.93.208	LNRECEP03.sarah.br	18/10/2024 14:05:25	DHCP	a85e4504a18f		Full Access	N/A	None	
10.1.93.211	LNNUTRICAO01.sarah.br	15/10/2024 09:34:19	DHCP	48ba4ebc7b9c		Full Access	N/A	None	
10.1.93.214	LNRISL01C02.sarah.br	17/10/2024 09:17:02	DHCP	a85e4504a490		Full Access	N/A	None	
10.1.93.216	LNG07C01.sarah.br	17/10/2024 09:23:04	DHCP	641c67ecce9a		Full Access	N/A	None	
10.1.93.220	LNG02C02.sarah.br	17/10/2024 09:09:38	DHCP	641c67eccd80		Full Access	N/A	None	
10.1.93.232	LNRADSL01.sarah.br	17/10/2024 09:23:20	DHCP	48ba4ebc6b82		Full Access	N/A	None	
10.1.93.234	LNG04C06.sarah.br	16/10/2024 09:02:57	DHCP	d8cb8ad56f8b		Full Access	N/A	None	
10.1.94.36	dash.sarah.br	14/10/2024 20:03:23	DHCP	a85e4504a186		Full Access	N/A	None	
10.1.94.43	LNSMARTLAB02.sarah.br	18/10/2024 08:15:07	DHCP	641c67ecc4bf		Full Access	N/A	None	
10.1.94.52	LNCOORDENACAO03.sarah.br	16/10/2024 19:29:56	DHCP	641c67ecccba		Full Access	N/A	None	
10.1.94.56	LNRISL05C01.sarah.br	17/10/2024 09:11:13	DHCP	48ba4ebc7b6e		Full Access	N/A	None	
10.1.94.57	LNRISL08C02.sarah.br	17/10/2024 09:08:44	DHCP	a85e4504a1c4		Full Access	N/A	None	
10.1.94.59	LNLAVANDERIA02.sarah.br	17/10/2024 09:18:43	DHCP	48ba4ebc6b6b		Full Access	N/A	None	
10.1.94.64	LNRISL08C07.sarah.br	18/10/2024 14:54:08	DHCP	48ba4ebc7ba4		Full Access	N/A	None	
10.1.94.76	LNRISL05C05.sarah.br	18/10/2024 08:05:45	DHCP	48ba4ebc7b8f		Full Access	N/A	None	
10.1.94.78	LNRAD09.sarah.br	17/10/2024 09:05:11	DHCP	641c67ec9e7e		Full Access	N/A	None	
10.1.94.86	LNINFDEBUG.sarah.br	18/10/2024 13:17:54	DHCP	48ba4ebc2995		Full Access	N/A	None	
10.1.94.99	LNRIRECEP01.sarah.br	17/10/2024 08:19:24	DHCP	641c67ecc3eb		Full Access	N/A	None	
