Client IP Address	Name	Lease Expiration	Type	Unique ID	Description	Network Access Protection	Probation Expiration	Filter Profile	Policy
10.1.83.37	LNLABMOV03.sarah.br	17/10/2024 10:56:24	DHCP	d8cb8ad56fa4		Full Access	N/A	None	
10.1.83.38	LNINF01.sarah.br	16/10/2024 09:29:18	DHCP	fc15b4d9cb74		Full Access	N/A	None	
10.1.83.39	LNRISL05C04.sarah.br	17/10/2024 10:31:29	DHCP	48ba4ebc7b7b		Full Access	N/A	None	
10.1.83.41	LNREFEITORIO01.sarah.br	Reservation (active)	None	f04da2e5b3d3	This address is already in use	Full Access	N/A	None	
10.1.83.42	LNGUICHE02.sarah.br	18/10/2024 08:34:36	DHCP	a85e4504a7b9		Full Access	N/A	None	
10.1.83.43		18/10/2024 14:34:52	DHCP	74765b8ddd00		Full Access	N/A	None	
10.1.83.44	LNMANUT03.sarah.br	17/10/2024 08:00:51	DHCP	641c67eccdd5		Full Access	N/A	None	
10.1.83.45	iPad-2.sarah.br	18/10/2024 13:20:36	DHCP	a4e975a9db00		Full Access	N/A	None	
10.1.83.47	LNNEUROPSIC03.sarah.br	17/10/2024 10:09:50	DHCP	641c67eccc73		Full Access	N/A	None	
10.1.83.48	LNG08C11.sarah.br	17/10/2024 09:10:26	DHCP	641c67ecac34		Full Access	N/A	None	
10.1.83.49	LNNUTRI01-FD.sarah.br	16/10/2024 23:44:27	DHCP	48ba4ebc2981		Full Access	N/A	None	
10.1.83.50	LNLABMOV12.sarah.br	17/10/2024 08:35:16	DHCP	641c67eccc77		Full Access	N/A	None	
10.1.83.51	LNG04C02.sarah.br	17/10/2024 09:13:07	DHCP	60c7270547e7		Full Access	N/A	None	
10.1.83.52	LNRISL03C01.sarah.br	17/10/2024 09:14:55	DHCP	48ba4ebc2996		Full Access	N/A	None	
10.1.83.53	LNQUADRA03.sarah.br	17/10/2024 09:08:43	DHCP	641c67eccdd6		Full Access	N/A	None	
10.1.83.54	LNSEC04.sarah.br	17/10/2024 08:40:16	DHCP	d8cb8ad55a88		Full Access	N/A	None	
10.1.83.55	android-e5810ba01d63f8be.sarah.br	18/10/2024 08:09:57	DHCP	78b8d6738567		Full Access	N/A	None	
10.1.83.56	LNAMBLJ06.sarah.br	17/10/2024 09:19:37	DHCP	60c7270547c5		Full Access	N/A	None	
10.1.83.57	LNINF04.sarah.br	18/10/2024 15:25:21	DHCP	641c67ecc437		Full Access	N/A	None	
10.1.83.58	LNRISL05C03.sarah.br	17/10/2024 09:02:00	DHCP	48ba4ebc6bc1		Full Access	N/A	None	
10.1.83.59	LNG08C08.sarah.br	17/10/2024 10:26:31	DHCP	641c67ecac9b		Full Access	N/A	None	
10.1.83.60	LNG02C01.sarah.br	17/10/2024 10:53:19	DHCP	3024a9fc41aa		Full Access	N/A	None	
10.1.83.61	LNAMB03.sarah.br	17/10/2024 09:46:04	DHCP	d8cb8ad56f92		Full Access	N/A	None	
10.1.83.62	LNCOORDENACAO04.sarah.br	16/10/2024 18:37:38	DHCP	d8cb8ad5eb7a		Full Access	N/A	None	
10.1.83.64	LNRISL01C01.sarah.br	17/10/2024 09:23:57	DHCP	a85e4504a7a7		Full Access	N/A	None	
10.1.83.65		18/10/2024 14:42:22	DHCP	c441373c298f		Full Access	N/A	None	
10.1.83.66	LNSMARTLAB01.sarah.br	17/10/2024 09:00:59	DHCP	641c67ecc3f5		Full Access	N/A	None	
10.1.83.67	LNG08C13.sarah.br	17/10/2024 20:21:05	DHCP	48ba4ebc7b1d		Full Access	N/A	None	
10.1.83.68	LNMANUT05.sarah.br	17/10/2024 20:44:56	DHCP	f48e38e03d78		Full Access	N/A	None	
10.1.83.69	LNBIOENG07.sarah.br	17/10/2024 09:40:05	DHCP	48ba4ebc298f		Full Access	N/A	None	
10.1.83.70	LNCOLABORADOR02.sarah.br	18/10/2024 11:26:51	DHCP	641c67ecccb3		Full Access	N/A	None	
10.1.83.71	LNINFTMP01.sarah.br	17/10/2024 16:33:07	DHCP	d09466dbfd04		Full Access	N/A	None	
10.1.83.72	LNRISL06C01.sarah.br	17/10/2024 14:39:29	DHCP	d45ddf164c6f		Full Access	N/A	None	
10.1.83.73	LNRISEC03.sarah.br	17/10/2024 09:17:14	DHCP	5c60bab14f67		Full Access	N/A	None	
10.1.83.74	ultimakersystem-ccbdd30068cc.sarah.br	16/10/2024 08:46:56	DHCP	ccbdd30068cc		Full Access	N/A	None	
10.1.83.75	LNNEUROPSIC01.sarah.br	16/10/2024 10:17:56	DHCP	641c67ecc3ec		Full Access	N/A	None	
10.1.83.76	LNSEGCAM02.sarah.br	17/10/2024 02:34:38	DHCP	d8cb8ad56f98		Full Access	N/A	None	
10.1.83.78	LNAMBAM04.sarah.br	17/10/2024 08:40:06	DHCP	60c72705478f		Full Access	N/A	None	
10.1.83.79	LNAMBAM05.sarah.br	16/10/2024 09:06:54	DHCP	60c7270547c3		Full Access	N/A	None	
10.1.83.80	LNAMBAM03.sarah.br	17/10/2024 12:52:07	DHCP	60c7270547c9		Full Access	N/A	None	
10.1.83.81	LNSEGCAM01.sarah.br	16/10/2024 18:37:29	DHCP	d8cb8ad55082		Full Access	N/A	None	
10.1.83.82	LNNUTRICAO03.sarah.br	17/10/2024 09:17:04	DHCP	d8cb8ad56f94		Full Access	N/A	None	
10.1.83.83		17/10/2024 04:47:28	DHCP	0050566da353		Full Access	N/A	None	
10.1.83.84	LNNUTRICAO02.sarah.br	17/10/2024 11:27:29	DHCP	d8cb8ad54fb3		Full Access	N/A	None	
10.1.83.85	LNCAMTMP01.sarah.br	17/10/2024 16:20:35	DHCP	005056912762		Full Access	N/A	None	
10.1.83.86	LNAMBLJ01.sarah.br	15/10/2024 07:48:58	DHCP	60c7270546d3		Full Access	N/A	None	
10.1.83.87		Reservation (active)	DHCP	46d1fa052374		Full Access	N/A	None	
10.1.83.88	LNINF03.sarah.br	Reservation (active)	None	f48e38e03d7c		Full Access	N/A	None	
10.1.83.89	LNG08C14.sarah.br	18/10/2024 15:50:10	DHCP	5c60bab13f04		Full Access	N/A	None	
10.1.83.90	LNAMBLJ03.sarah.br	17/10/2024 09:06:49	DHCP	60c7270548aa		Full Access	N/A	None	
10.1.83.91	android-dddd41bff9c2c589.sarah.br	18/10/2024 15:00:18	DHCP	20d7788acc5e		Full Access	N/A	None	
10.1.83.92	LNNUTRICAO06.sarah.br	17/10/2024 08:03:15	DHCP	641c67eccb49		Full Access	N/A	None	
10.1.83.93	LNAMBLJ07.sarah.br	17/10/2024 08:50:13	DHCP	60c7270544c2		Full Access	N/A	None	
10.1.83.94	LNSEC02.sarah.br	18/10/2024 08:12:34	DHCP	d8cb8ad55023		Full Access	N/A	None	
10.1.83.95	ATA191.sarah.br	18/10/2024 08:18:12	DHCP	40f078b49edc		Full Access	N/A	None	
10.1.83.97	LNAMBLJ09.sarah.br	17/10/2024 14:28:52	DHCP	60c7270544c7		Full Access	N/A	None	
10.1.83.98	LNGUICHE03C01.sarah.br	18/10/2024 14:41:59	DHCP	5c60bab14f3e		Full Access	N/A	None	
10.1.83.99	ZBR10620581.sarah.br	17/10/2024 16:19:02	DHCP	00074da20ea5		Full Access	N/A	None	
10.1.83.100	LNBIOENG09.sarah.br	18/10/2024 13:43:41	DHCP	782bcbc01d89		Full Access	N/A	None	
10.1.83.101	LNAMBLJ12.sarah.br	17/10/2024 09:05:23	DHCP	60c72705468a		Full Access	N/A	None	
10.1.83.103	LNAMBVD06.sarah.br	17/10/2024 09:22:48	DHCP	60c7270545f1		Full Access	N/A	None	
10.1.83.104	LNLABMOV01.sarah.br	17/10/2024 09:20:12	DHCP	a85e4504a7e4		Full Access	N/A	None	
10.1.83.105	LNRAD07.sarah.br	17/10/2024 13:09:41	DHCP	a85e4504a7a1		Full Access	N/A	None	
10.1.83.106	LNG03BOX05.sarah.br	17/10/2024 12:02:29	DHCP	60c7270544c9		Full Access	N/A	None	
10.1.83.107	LNCOORDENACAO01.sarah.br	17/10/2024 17:15:48	DHCP	60c72705453a		Full Access	N/A	None	
10.1.83.109	LNPISCINASNOT01.sarah.br	18/10/2024 15:05:55	DHCP	f020ffb4cfe4		Full Access	N/A	None	
10.1.83.110	LNG03BOX02.sarah.br	17/10/2024 10:21:56	DHCP	60c7270545c9		Full Access	N/A	None	
10.1.83.111	LNRISL06C03.sarah.br	17/10/2024 08:51:23	DHCP	60c72705475f		Full Access	N/A	None	
10.1.83.112	LNRISL04C02.sarah.br	17/10/2024 08:34:53	DHCP	60c7270544d5		Full Access	N/A	None	
10.1.83.113	LNG04C04.sarah.br	17/10/2024 09:52:20	DHCP	60c727054780		Full Access	N/A	None	
10.1.83.126	LNLABMOV02.sarah.br	17/10/2024 11:17:18	DHCP	d8cb8ad5ebc6		Full Access	N/A	None	
