Nome,Possui AD,Possui Bitdefender,Possui DHCP,Possui Kace
"LNINFNOTE01",Sim,Sim,Sim,Não
"LNATIV03",Sim,Sim,Sim,Sim
"LNCOORDENF01",Sim,Sim,Sim,Sim
"LNAVD01",Sim,Sim,Sim,Sim
"LNLABMOV12",Sim,Sim,Sim,Sim
"LNLABMOV13",Sim,Sim,Sim,Sim
"LNLABMOV03",Sim,Sim,Sim,Sim
"LNLABMOV11",Sim,Sim,Sim,Sim
"LNLABMOV05",Sim,Sim,Não,Sim
"LNLABMOV02",Sim,Sim,Sim,Sim
"LNLABMOV04",Sim,Sim,Sim,Sim
"LNLABMOV01",Sim,Sim,Sim,Sim
"LNCENOGRAFICA01",Sim,Sim,Não,Não
"LNG03BOX03",Sim,Sim,Sim,Sim
"LNNEUROPSIC01",Sim,Sim,Sim,Sim
"LNG04C07",Sim,Sim,Sim,Sim
"LNNEUROPSIC07",Sim,Sim,Sim,Sim
"LNG08C07",Sim,Sim,Sim,Sim
"LNMANUT04",Sim,Sim,Sim,Sim
"LNALMOXNUTRI01",Sim,Sim,Sim,Sim
"LNRIRECEP02",Sim,Sim,Sim,Sim
"LNRAD09",Sim,Sim,Sim,Sim
"LNRISL05C06",Sim,Sim,Sim,Sim
"LNCOLETA01",Sim,Sim,Não,Sim
"LNG08C09",Sim,Sim,Sim,Sim
"LNLAVANDERIA02",Sim,Sim,Sim,Sim
"LNAMB02",Sim,Sim,Sim,Sim
"LNMANUT03",Sim,Sim,Sim,Sim
"LNG02C02",Sim,Sim,Sim,Sim
"LNNUTRICAO06",Sim,Sim,Sim,Sim
"LNNEUROPSIC03",Sim,Sim,Sim,Sim
"LNAMB01",Sim,Sim,Sim,Sim
"LNRAD11",Sim,Sim,Sim,Sim
"LNAMBLJ02",Sim,Sim,Sim,Sim
"LNNUTRICAO03",Sim,Sim,Sim,Sim
"LNSEC06",Sim,Sim,Sim,Sim
"LNG04C01",Sim,Sim,Sim,Sim
"LNG01C01",Sim,Sim,Sim,Sim
"LNG07C02",Sim,Sim,Sim,Sim
"LNQUADRA02",Sim,Sim,Sim,Sim
"LNRISL07C01",Sim,Sim,Sim,Sim
"LNRISL03C01",Sim,Sim,Sim,Sim
"LNRISL08C03",Sim,Sim,Sim,Sim
"LNRISL01C01",Sim,Sim,Sim,Sim
"LNRADSL02",Sim,Sim,Não,Sim
"LNG09C01",Sim,Sim,Sim,Sim
"LNSEC05",Sim,Sim,Sim,Sim
"LNQUADRA04",Sim,Sim,Sim,Sim
"LNG04C06",Sim,Sim,Sim,Sim
"LNRECEP02",Sim,Sim,Sim,Sim
"LNCOSTURARIA01",Sim,Sim,Sim,Sim
"LNG08C12",Sim,Sim,Sim,Sim
"LNLAVANDERIA01",Sim,Sim,Sim,Sim
"LNAMB03",Sim,Sim,Sim,Sim
"LNAMBLJ11C02",Sim,Sim,Sim,Sim
"LNSEC01",Sim,Sim,Sim,Sim
"LNG04C02",Sim,Sim,Sim,Sim
"LNSEC04",Sim,Sim,Sim,Sim
"LNAMBLJ06",Sim,Sim,Sim,Sim
"LNNUTRICAO01",Sim,Sim,Sim,Sim
"LNRIRECEP01",Sim,Sim,Sim,Sim
"LNRAD04",Sim,Sim,Sim,Sim
"LNMANUT06",Sim,Sim,Sim,Sim
"LNG08C01",Sim,Sim,Sim,Sim
"LNRECEP04",Sim,Sim,Sim,Sim
"LNG02NOTE01",Sim,Sim,Sim,Sim
"LNRISL02C01",Sim,Sim,Sim,Sim
"LNG11C01",Sim,Sim,Sim,Sim
"LNSECRETARIA02",Sim,Sim,Não,Sim
"LNAMBLJ11C01",Sim,Sim,Sim,Sim
"LNBIOENG01",Sim,Sim,Sim,Sim
"LNG08C05",Sim,Sim,Sim,Sim
"LNRADSL01",Sim,Sim,Sim,Sim
"LNPISCINAS02",Sim,Sim,Sim,Sim
"LNRISL01C02",Sim,Sim,Sim,Sim
"LNRAD07",Sim,Sim,Sim,Sim
"LNDR04",Sim,Sim,Não,Sim
"LNRECEP01",Sim,Sim,Sim,Sim
"LNG08C13",Sim,Sim,Sim,Sim
"LNQUADRA01",Sim,Sim,Sim,Sim
"LNRECEPB02",Sim,Sim,Sim,Sim
"LNHIGIENE01",Sim,Sim,Sim,Sim
"LNRADSL03",Sim,Sim,Não,Sim
"LNBIOENG14",Sim,Sim,Sim,Sim
"LNG10C01",Sim,Não,Não,Não
"LNRISL04C01",Sim,Não,Não,Não
"LNCOLABORADOR01",Sim,Sim,Sim,Sim
"LNCOLABORADOR02",Sim,Sim,Sim,Sim
"LNRISL05C05",Sim,Sim,Sim,Sim
"LNGUICHE03C01",Sim,Sim,Sim,Sim
"LNG02C09",Sim,Sim,Sim,Sim
"LNG08C14",Sim,Sim,Sim,Sim
"LNRISL04C02",Sim,Sim,Sim,Sim
"LNG04C09",Sim,Sim,Sim,Sim
"LNG02C01",Sim,Sim,Sim,Sim
"LNRISEC03",Sim,Sim,Sim,Sim
"LNMANUT09",Sim,Sim,Sim,Sim
"LNNUTRICAO05",Sim,Sim,Não,Não
"LNRAD05",Sim,Sim,Sim,Sim
"LNGUICHE03",Sim,Sim,Sim,Sim
"LNRISL01C03",Sim,Sim,Sim,Sim
"LNBIOENG07",Sim,Sim,Sim,Sim
"LNRISL08C06",Sim,Sim,Sim,Sim
"LNSMARTLAB01",Sim,Sim,Sim,Sim
"LNSMARTLAB02",Sim,Sim,Sim,Sim
"LNELO01",Sim,Sim,Não,Sim
"LNSEC02",Sim,Sim,Sim,Sim
"LNRECEP03",Sim,Sim,Sim,Sim
"LNG08C06",Sim,Sim,Sim,Sim
"LNRISL08C04",Sim,Sim,Sim,Sim
"LNG08C10",Sim,Sim,Sim,Sim
"LNAMBLJ08",Sim,Sim,Sim,Sim
"LNG03C01",Sim,Sim,Sim,Sim
"LNG03C03",Sim,Sim,Sim,Sim
"LNRISL05C03",Sim,Sim,Sim,Sim
"LNAMBAM04",Sim,Sim,Sim,Sim
"LNAMBAM05",Sim,Sim,Sim,Sim
"LNAMBLJ04",Sim,Sim,Sim,Sim
"LNAMBAM01",Sim,Sim,Sim,Sim
"LNG01C02",Sim,Sim,Sim,Sim
"LNAMBAM03",Sim,Sim,Sim,Sim
"LNG08C03",Sim,Sim,Sim,Sim
"LNG08C02",Sim,Sim,Sim,Sim
"LNAMBLJ01",Sim,Sim,Sim,Sim
"LNAMBLJ03",Sim,Sim,Sim,Sim
"LNAMBLJ07",Sim,Sim,Sim,Sim
"LNG04C10",Sim,Sim,Sim,Sim
"LNRISL06C01",Sim,Sim,Sim,Sim
"LNBIOENG11",Sim,Sim,Sim,Sim
"LNAMBLJ09",Sim,Sim,Sim,Sim
"LNAMBLJ05",Sim,Sim,Sim,Sim
"LNAMBLJ12",Sim,Sim,Sim,Sim
"LNRISL05C01",Sim,Sim,Sim,Sim
"LNRISEC01",Sim,Sim,Sim,Sim
"LNRECEPB01",Sim,Sim,Sim,Sim
"LNAMBVD02",Sim,Sim,Não,Sim
"LNAMBVD06",Sim,Sim,Sim,Sim
"LNAMB04",Sim,Sim,Sim,Sim
"LNNEUROPSIC05",Sim,Sim,Sim,Sim
"LNAMBVD08",Sim,Sim,Sim,Sim
"LNG08C08",Sim,Sim,Sim,Sim
"LNG03BOX05",Sim,Sim,Sim,Sim
"LNG03BOX02",Sim,Sim,Sim,Sim
"LNG08C04",Sim,Sim,Sim,Sim
"LNG04C08",Sim,Sim,Não,Sim
"LNG04BOX01",Sim,Sim,Sim,Sim
"LNAMBVD04",Sim,Sim,Sim,Sim
"LNRISL08C02",Sim,Sim,Sim,Sim
"LNG03BOX01",Sim,Sim,Sim,Sim
"LNG01C04",Sim,Sim,Sim,Sim
